angle,sin,cos
6f8ab0,6f8728,ffe7b39
6fb1c0,6fae34,ffe7a29
6fd8d0,6fd541,ffe7918
6fffe0,6ffc4d,ffe7807
7026f0,702359,ffe76f5
704e00,704a65,ffe75e3
707510,707172,ffe74d1
709c20,70987e,ffe73be
70c330,70bf8a,ffe72ab
70ea40,70e696,ffe7198
711150,710da2,ffe7084
713860,7134af,ffe6f6f
715f70,715bbb,ffe6e5b
718680,7182c7,ffe6d46
71ad90,71a9d3,ffe6c31
71d4a0,71d0df,ffe6b1b
71fbb0,71f7eb,ffe6a05
7222c0,721ef8,ffe68ef
7249d0,724604,ffe67d8
7270e0,726d10,ffe66c1
7297f0,72941c,ffe65a9
72bf00,72bb28,ffe6491
72e610,72e234,ffe6379
730d20,730940,ffe6260
733430,73304c,ffe6147
735b40,735758,ffe602e
738250,737e64,ffe5f14
73a960,73a570,ffe5dfa
73d070,73cc7c,ffe5cdf
73f780,73f388,ffe5bc4
741e90,741a94,ffe5aa9
7445a0,7441a0,ffe598d
746cb0,7468ac,ffe5871
7493c0,748fb8,ffe5755
74bad0,74b6c4,ffe5638
74e1e0,74ddd0,ffe551b
7508f0,7504dc,ffe53fe
753000,752be8,ffe52e0
755710,7552f4,ffe51c1
757e20,757a00,ffe50a3
75a530,75a10b,ffe4f84
75cc40,75c817,ffe4e64
75f350,75ef23,ffe4d45
761a60,76162f,ffe4c25
764170,763d3b,ffe4b04
766880,766447,ffe49e3
768f90,768b53,ffe48c2
76b6a0,76b25e,ffe47a0
76ddb0,76d96a,ffe467e
7704c0,770076,ffe455c
772bd0,772782,ffe4439
7752e0,774e8d,ffe4316
7779f0,777599,ffe41f3
77a100,779ca5,ffe40cf
77c810,77c3b1,ffe3fab
77ef20,77eabc,ffe3e86
781630,7811c8,ffe3d61
783d40,7838d4,ffe3c3c
786450,785fdf,ffe3b16
788b60,7886eb,ffe39f0
78b270,78adf7,ffe38ca
78d980,78d502,ffe37a3
790090,78fc0e,ffe367c
7927a0,79231a,ffe3554
794eb0,794a25,ffe342c
7975c0,797131,ffe3304
799cd0,79983d,ffe31db
79c3e0,79bf48,ffe30b2
79eaf0,79e654,ffe2f89
7a1200,7a0d5f,ffe2e5f
7a3910,7a346b,ffe2d35
7a6020,7a5b76,ffe2c0a
7a8730,7a8282,ffe2adf
7aae40,7aa98d,ffe29b4
7ad550,7ad099,ffe2888
7afc60,7af7a4,ffe275c
7b2370,7b1eb0,ffe2630
7b4a80,7b45bb,ffe2503
7b7190,7b6cc7,ffe23d6
7b98a0,7b93d2,ffe22a9
7bbfb0,7bbade,ffe217b
7be6c0,7be1e9,ffe204c
7c0dd0,7c08f5,ffe1f1e
7c34e0,7c3000,ffe1def
7c5bf0,7c570b,ffe1cbf
7c8300,7c7e17,ffe1b90
7caa10,7ca522,ffe1a60
7cd120,7ccc2e,ffe192f
7cf830,7cf339,ffe17fe
7d1f40,7d1a44,ffe16cd
7d4650,7d4150,ffe159b
7d6d60,7d685b,ffe1469
7d9470,7d8f66,ffe1337
7dbb80,7db672,ffe1204
7de290,7ddd7d,ffe10d1
7e09a0,7e0488,ffe0f9e
7e30b0,7e2b93,ffe0e6a
7e57c0,7e529f,ffe0d36
7e7ed0,7e79aa,ffe0c01
7ea5e0,7ea0b5,ffe0acc
7eccf0,7ec7c0,ffe0997
7ef400,7eeecb,ffe0861
7f1b10,7f15d7,ffe072b
7f4220,7f3ce2,ffe05f5
7f6930,7f63ed,ffe04be
7f9040,7f8af8,ffe0386
7fb750,7fb203,ffe024f
7fde60,7fd90e,ffe0117
800570,80001a,ffdffdf
802c80,802725,ffdfea6
805390,804e30,ffdfd6d
807aa0,80753b,ffdfc33
80a1b0,809c46,ffdfafa
80c8c0,80c351,ffdf9c0
80efd0,80ea5c,ffdf885
8116e0,811167,ffdf74a
813df0,813872,ffdf60f
816500,815f7d,ffdf4d3
818c10,818688,ffdf397
81b320,81ad93,ffdf25b
81da30,81d49e,ffdf11e
820140,81fba9,ffdefe1
822850,8222b4,ffdeea3
824f60,8249bf,ffded65
827670,8270ca,ffdec27
829d80,8297d5,ffdeae8
82c490,82bee0,ffde9a9
82eba0,82e5eb,ffde86a
8312b0,830cf6,ffde72a
8339c0,833400,ffde5ea
8360d0,835b0b,ffde4aa
8387e0,838216,ffde369
83aef0,83a921,ffde227
83d600,83d02c,ffde0e6
83fd10,83f737,ffddfa4
842420,841e41,ffdde61
844b30,84454c,ffddd1f
847240,846c57,ffddbdc
849950,849362,ffdda98
84c060,84ba6c,ffdd954
84e770,84e177,ffdd810
850e80,850882,ffdd6cb
853590,852f8d,ffdd586
855ca0,855697,ffdd441
8583b0,857da2,ffdd2fb
85aac0,85a4ad,ffdd1b5
85d1d0,85cbb7,ffdd06f
85f8e0,85f2c2,ffdcf28
861ff0,8619cd,ffdcde1
864700,8640d7,ffdcc99
866e10,8667e2,ffdcb51
869520,868eed,ffdca09
